mes,termino,interes,category
2022-10,bomber jacket,3.0,prenda
2022-11,bomber jacket,3.0,prenda
2022-12,bomber jacket,3.0,prenda
2023-01,bomber jacket,2.0,prenda
2023-02,bomber jacket,2.0,prenda
2023-03,bomber jacket,2.0,prenda
2023-04,bomber jacket,2.0,prenda
2023-05,bomber jacket,2.0,prenda
2023-06,bomber jacket,1.0,prenda
2023-07,bomber jacket,1.0,prenda
2023-08,bomber jacket,2.0,prenda
2023-09,bomber jacket,2.0,prenda
2023-10,bomber jacket,3.0,prenda
2023-11,bomber jacket,3.0,prenda
2023-12,bomber jacket,3.0,prenda
2024-01,bomber jacket,3.0,prenda
2024-02,bomber jacket,2.0,prenda
2024-03,bomber jacket,2.0,prenda
2024-04,bomber jacket,2.0,prenda
2024-05,bomber jacket,2.0,prenda
2024-06,bomber jacket,1.0,prenda
2024-07,bomber jacket,1.0,prenda
2024-08,bomber jacket,2.0,prenda
2024-09,bomber jacket,2.0,prenda
2024-10,bomber jacket,3.0,prenda
2024-11,bomber jacket,4.0,prenda
2024-12,bomber jacket,4.0,prenda
2025-01,bomber jacket,3.0,prenda
2025-02,bomber jacket,2.0,prenda
2025-03,bomber jacket,3.0,prenda
2025-04,bomber jacket,2.0,prenda
2025-05,bomber jacket,2.0,prenda
2025-06,bomber jacket,2.0,prenda
2025-07,bomber jacket,2.0,prenda
2025-08,bomber jacket,3.0,prenda
2025-09,bomber jacket,3.0,prenda
2025-10,bomber jacket,4.0,prenda
2025-11,bomber jacket,4.0,prenda
2025-12,bomber jacket,4.0,prenda
2026-01,bomber jacket,3.0,prenda
2020-01,maxi dress,2.0,prenda
2020-02,maxi dress,3.0,prenda
2020-03,maxi dress,2.0,prenda
2020-04,maxi dress,2.0,prenda
2020-05,maxi dress,3.0,prenda
2020-06,maxi dress,3.0,prenda
